14:54:08.906 1700,-2868,16916,39.45,-839,-1878,2140
14:54:09.176 6916,-2152,16800,39.35,706,-906,1976
14:54:09.377 4920,-2348,16564,39.45,1812,-571,766
14:54:09.630 4640,-1808,15676,39.40,-1038,361,-1584
14:54:09.863 2316,-2600,16812,39.40,-682,818,-2128
14:54:10.122 1828,-2068,16540,39.45,-1251,309,-639
14:54:10.356 4560,-2912,16352,39.49,-136,1556,-899
14:54:10.591 -668,-1856,16432,39.45,-321,-269,23
14:54:10.857 4280,-3644,17088,39.40,-18,-1587,3063
14:54:11.090 6000,-1740,14936,39.45,1471,59,144
14:54:11.330 3308,-1396,14900,39.45,-551,18,-967
14:54:11.563 2236,-2756,16088,39.45,-1301,710,-1929
14:54:11.822 1948,-3048,16816,39.26,-522,-565,-702
14:54:12.056 720,-2276,16556,39.40,-350,590,-570
14:54:12.296 2008,-3540,16892,39.35,-74,-1535,2050
14:54:12.535 7888,-2696,15812,39.35,1228,-1236,988
14:54:12.793 2172,-1652,15784,39.40,-1126,1043,-2787
14:54:13.070 2888,-2880,17552,39.31,-1006,57,-1308
14:54:13.272 5104,-1984,16392,39.45,26,-2047,-1004
14:54:13.543 -1564,-1300,16524,39.31,-151,187,166
14:54:13.763 2592,-1768,17980,39.49,30,-1915,3164
14:54:13.996 6984,-1848,14664,39.49,267,761,-1656
14:54:14.257 2388,-2740,16968,39.35,-706,-958,722
14:54:14.491 3380,-2232,16404,39.35,-189,-467,-222
14:54:14.723 7488,-2580,16476,39.35,808,371,-904
14:54:14.984 432,-1560,15496,39.35,-1154,-395,1764
14:54:15.219 6388,-2464,17940,39.31,362,-1284,986
14:54:15.478 2872,-1872,14924,39.31,-1087,786,-1214
14:54:15.711 2720,-3192,16932,39.45,-1928,809,-1251
14:54:15.946 1668,-2240,16332,39.35,-264,-854,69
14:54:16.205 3960,-3184,16780,39.31,-785,-1952,2387
14:54:16.449 4272,-2440,16196,39.40,773,492,-494
14:54:16.687 1260,-2688,17460,39.35,-605,-60,-330
14:54:16.964 -316,-1736,15812,39.26,-381,-372,78
14:54:17.167 4916,-3008,15660,39.35,117,-1414,501
14:54:17.437 2748,-2840,16428,39.35,-746,-129,-532
14:54:17.705 2280,-2584,16088,39.31,546,-702,-1103
14:54:17.912 480,-1924,15852,39.35,-690,-542,1405
14:54:18.152 4432,-2204,17080,39.26,856,-926,941
14:54:18.386 6164,-3512,15856,39.26,417,-175,-51
14:54:18.620 1104,-2876,16268,39.21,-1807,925,-2468
14:54:18.885 4264,-2664,16784,39.31,-27,-597,-773
14:54:19.115 3252,-2660,16496,39.35,-206,-540,-258
14:34:01.138 3048,-1944,16208,42.79,-194,-315,-310
14:34:01.341 2852,-1132,16404,42.84,-458,-493,-1
14:34:01.596 3452,-1168,16348,42.84,-937,-516,230
14:34:01.832 3364,-1772,16476,42.74,-709,-349,-80
14:34:02.065 2876,-2092,16116,42.79,-178,-355,-209
14:34:02.303 3208,-2164,15984,42.74,-2,-482,-139
14:34:02.563 3360,-2668,15788,42.65,166,-386,-388
14:34:02.797 2856,-2448,15820,42.74,267,-383,-446
14:34:03.052 2852,-1764,15876,42.79,-159,-500,-38
14:34:03.285 3520,-1464,16316,42.84,-637,-471,84
14:34:03.520 3400,-1432,16432,42.74,-794,-320,-86
14:34:03.757 2912,-1624,16496,42.79,-641,-483,-39
14:34:04.019 3188,-2120,15908,42.79,-416,-479,46
14:34:04.256 3428,-2608,15836,42.79,35,-304,-353
14:34:04.491 2920,-2504,15780,42.79,349,-309,-517
14:34:04.749 2788,-2204,15608,42.74,25,-549,-104
14:34:05.023 3576,-1556,16212,42.74,-578,-509,59
14:34:05.228 3372,-1384,16620,42.74,-778,-312,-129
14:34:05.498 2760,-1268,16420,42.84,-689,-452,71
14:34:05.707 3280,-1848,16088,42.93,-594,-547,116
14:34:05.940 3528,-2468,16172,42.84,-184,-310,-333
14:34:06.199 2808,-2508,15896,42.84,305,-309,-502
14:34:06.434 2784,-2688,15300,42.79,303,-547,-242
