14:22:36.235 1128,-1140,17612,35.31,-1864,-360,-25
14:22:36.493 1116,-2764,15400,35.21,-119,-1959,1646
14:22:36.727 4472,-2756,14756,35.26,-223,-818,167
14:22:36.949 4444,-728,15756,35.26,280,-402,-19
14:22:37.211 2912,-3008,17140,35.26,-3404,-113,-988
14:22:37.444 1856,-5876,16936,35.21,-85,-645,429
14:22:37.708 2656,-3532,17620,35.21,1029,-261,-323
14:22:37.942 3740,-4200,16972,35.31,547,-2201,1876
14:22:38.181 9852,-2304,11804,35.35,2608,614,-1536
14:22:38.440 -1720,-2852,12180,35.31,-241,2525,-4638
14:22:38.674 428,-3076,16456,35.26,-2425,-3096,3985
14:22:38.933 13440,-3860,16768,35.31,-326,-1192,908
14:22:39.171 1148,-588,15016,35.35,2591,3080,-5435
14:22:39.410 -5716,184,14988,35.31,-1817,-1455,1054
14:22:39.688 7184,-4820,13320,35.35,-1194,-2902,3245
14:22:39.890 8424,-3084,15808,35.26,-768,984,-2867
14:22:40.160 -1580,-6184,15216,35.35,-913,1221,-3234
14:22:40.396 -428,-2416,17124,35.35,651,-2038,988
14:22:40.635 5456,-248,15872,35.31,345,-1801,188
14:22:40.867 5616,-232,15064,35.31,-337,-657,-813
14:22:41.126 7164,-1016,15520,35.40,-1391,-348,-151
14:22:41.359 6580,76,17452,35.45,-109,363,-756
14:22:41.593 4260,564,15776,35.35,2093,-220,-1029
14:22:41.852 4220,3176,15328,35.35,-747,-272,545
14:22:42.095 4584,-1308,14748,35.40,-1560,-227,1647
14:22:42.331 3520,-1132,19316,35.45,-2171,-1512,2732
14:22:42.588 8848,-2692,11064,35.45,615,1436,-464
14:22:42.823 -632,-2792,12088,35.45,697,654,-1273
14:22:43.056 7824,2544,24020,35.40,715,-838,-120
14:22:43.302 24,1904,10048,35.35,-2401,-435,2115
14:22:43.585 3724,-3124,15764,35.45,-2409,-1270,232
14:22:43.788 5196,-6612,18876,35.31,2530,594,-1449
14:22:44.058 2564,420,15264,35.45,149,-1279,1758
14:22:44.328 9484,-268,15900,35.40,136,-1058,384
14:22:44.531 4016,-3880,15776,35.49,37,803,-1329
14:22:44.763 488,-4180,15396,35.40,-1521,-349,-46
14:22:45.001 4376,-4080,17328,35.40,-1024,-1372,1507
14:22:45.260 6020,-6008,16116,35.45,-108,-151,-341
14:22:45.492 -216,-5692,16092,35.45,602,404,-1509
14:22:45.728 -1116,-5568,14208,35.49,1114,-3232,3640
14:22:45.986 16012,-5736,13084,35.40,-3171,-1502,2562
14:22:46.221 2744,-6340,17116,35.45,1468,2382,-3619
14:22:46.486 768,-4380,15664,35.54,-1067,-1882,2643
14:22:46.720 4488,-9200,20340,35.40,-1878,-3456,4278
14:22:46.979 17012,-8008,11760,35.45,441,792,-1251
14:22:47.215 5000,-7336,12612,35.54,-390,3417,-5289
14:22:47.449 -7548,-8120,13984,35.49,-2108,676,-1496
14:22:47.743 5900,-6408,15920,35.45,-1753,-2769,5446
14:22:47.945 9640,-7060,16048,35.45,2675,3881,-4585
14:22:48.216 -3396,-7804,14400,35.45,2059,2475,-3940
14:22:48.485 -3688,-4988,14792,35.40,1095,-1788,940
