14:45:13.866 2164,-4468,15900,41.38,123,-730,-476
14:45:14.124 5356,-8816,15472,41.47,-1550,-1035,141
14:45:14.357 6876,-6416,15176,41.42,927,347,-976
14:45:14.596 4856,-4584,13004,41.52,522,522,-1279
14:45:14.856 1840,-2844,16088,41.52,-1484,941,-1053
14:45:15.089 -672,-2132,19824,41.42,-1422,-698,1637
14:45:15.323 9896,-6984,17336,41.42,1176,-4867,5712
14:45:15.582 10848,-2992,15336,41.42,1586,1215,-2572
14:45:15.816 -5420,-900,12152,41.47,-2325,5258,-4747
14:45:16.080 -13668,-2228,21096,41.42,-3508,-4912,5103
14:45:16.317 18508,-4116,19952,41.47,4806,-2210,634
14:45:16.552 3048,2128,12008,41.38,2574,4768,-5511
14:45:16.823 -2788,-6644,16656,41.42,-5510,-1638,2687
14:45:17.094 10352,-5076,22032,41.38,4669,-3825,4282
14:45:17.285 11036,-1528,15872,41.42,559,880,273
14:45:17.543 6060,996,13816,41.42,-1767,3925,-3837
14:45:17.777 -3488,-7048,18240,41.38,-4113,134,286
14:45:18.038 3960,-7196,14152,41.33,3942,600,-414
14:45:18.272 -2892,-432,13712,41.28,-1476,848,-1995
14:45:18.529 2660,-4688,13168,41.38,-2161,-2875,1927
14:45:18.752 13188,-8248,17656,41.42,-60,601,545
14:45:19.016 -2668,-4356,15056,41.33,2297,579,-2715
14:45:19.251 672,-76,15632,41.38,-1910,113,-1115
14:45:19.484 176,-4056,17408,41.38,-1878,-1339,3126
14:45:19.743 5912,-3748,14984,41.28,1645,-665,-2223
14:45:19.977 4800,144,19216,41.33,-1385,2185,-2851
14:45:20.233 -1012,-1720,15176,41.38,-3287,2534,-5103
14:45:20.515 -5976,-4628,13632,41.42,-1565,-4310,3233
14:45:20.718 15300,4484,22244,41.33,2054,-3208,331
14:45:20.989 6724,2016,15244,41.38,-679,3077,-3964
14:45:21.258 -2664,13128,22524,41.52,-2931,1607,881
14:45:21.443 12016,984,17952,41.33,546,-1327,2859
14:45:21.704 15032,3920,13300,41.38,2425,1803,-6210
14:45:21.943 1984,5120,14756,41.42,153,8044,-12448
14:45:22.177 -14568,1664,12416,41.42,-4421,3671,-6012
14:45:22.436 -1600,1196,22052,41.38,-1427,-7745,6683
14:45:22.692 18664,712,16580,41.38,1894,-1091,-2346
14:45:22.926 -940,2752,11532,41.38,-2903,10230,-14144
14:45:23.185 -7288,4404,23528,41.33,-2737,-1568,1997
14:45:23.425 8524,-5256,20676,41.33,-119,-2040,-183
14:45:23.659 2092,-4144,13516,41.33,928,4248,-5900
14:45:23.922 -2832,-2576,15780,41.33,-3322,-1041,-3301
14:45:24.156 6912,-4016,17352,41.42,-692,-1219,46
14:45:24.390 6720,268,17100,41.33,314,-620,-3874
14:45:24.684 9044,-2972,11316,41.33,-2313,1207,-4980
14:45:24.886 2480,-4072,17228,41.33,-1498,462,-3832
14:45:25.156 -4436,-2004,16284,41.28,-1112,-161,-101
14:45:25.426 11548,-688,15964,41.28,261,-1315,-1445
14:45:25.616 12724,2316,15580,41.33,-803,283,-3869
14:45:25.875 5036,-5460,19964,41.19,-4467,2381,-2380
14:45:26.106 11016,-2460,16424,41.19,2351,840,-1019
14:45:26.346 5860,-2424,6764,41.19,-1485,7052,-10945
14:45:26.607 -11012,412,16932,41.24,-7317,-1001,709
14:45:26.841 4116,-4600,23336,41.19,-1039,-1645,1143
14:45:27.100 14276,-4140,15760,41.19,1724,1862,-2470
14:45:27.333 -932,1796,11692,41.19,3077,5570,-9964
14:45:27.592 -8408,-1640,14300,41.28,-6860,-1622,-2858
14:45:27.837 -2144,-10460,17304,41.24,-1550,-2769,4190
14:45:28.070 9180,-5452,13948,41.19,3174,-1898,1714
14:45:28.329 8184,-904,10516,41.24,-1437,2959,-5082
14:45:28.563 -7676,-9420,16208,41.24,-2654,-188,-720
14:45:28.822 5452,-3052,14748,41.38,790,-4021,4215
14:45:29.094 12116,-1876,15592,41.42,2356,450,-1386
14:45:29.295 -3668,1552,16520,41.24,-1423,3012,-4543
14:45:29.565 -2020,-2732,18220,41.33,-1261,-2749,4525
14:46:07.188 464,-796,13692,41.66,3274,-1052,771
14:46:07.417 5856,-4464,11952,41.75,-2665,-2679,1999
14:46:07.675 10860,-5660,14028,41.71,-62,756,-1077
14:46:07.907 1568,1964,17556,41.75,-353,2840,-2451
14:46:08.144 5020,-64,16340,41.71,-1138,1844,-2609
14:46:08.402 -36,-3316,10968,41.71,-2684,2470,-625
14:46:08.646 -152,-6452,16624,41.71,-2608,-1391,1043
14:46:08.885 756,-4448,18580,41.85,-2633,-1072,2568
14:46:09.144 9512,-2688,19336,41.66,-1621,-2015,1055
14:46:09.376 -6916,-4296,18380,41.71,852,-409,850
14:46:09.653 1172,-636,19960,41.71,-149,112,-1106
14:46:09.856 -3636,5384,18444,41.71,475,540,-2801
14:46:10.127 -984,296,23540,41.66,1631,-4598,5927
14:46:10.396 9040,-7608,19256,41.71,1717,-1274,682
14:46:10.610 4340,-6132,15396,41.71,-1556,1102,-2188
14:46:10.844 -2632,-2816,19048,41.75,-597,-796,1212
14:46:11.076 5780,-1140,15208,41.75,626,-3923,3175
14:46:11.332 7624,-3404,18624,41.80,855,-590,867
14:46:11.564 5144,-204,16120,41.80,2098,1813,-1879
14:46:11.828 1832,-5224,13816,41.71,-1426,371,-2558
14:46:12.063 -4168,-3820,18160,41.71,-3298,4863,-5745
14:46:12.321 -8020,-2280,18920,41.75,-788,-203,1123
14:46:12.561 12744,624,19364,41.75,-1076,-3639,3337
14:46:12.796 4728,-5616,13116,41.75,175,1681,-5229
14:46:13.055 -8636,-120,19168,41.75,-4309,640,-469
14:46:13.294 3444,-9024,19796,41.66,-328,-3984,3833
14:46:13.529 10892,-4428,13172,41.66,4904,-730,-3299
14:46:13.823 3208,-2948,8784,41.71,754,1046,-3465
14:46:14.025 -308,-2148,13312,41.71,-4706,2062,-1831
14:46:14.295 -4240,-5124,19848,41.75,-2949,311,642
14:46:14.566 4836,-2128,17244,41.71,2285,-1744,1232
14:46:14.756 -964,-2608,18656,41.75,33,2824,-3781
14:46:14.988 -3600,-692,21260,41.71,927,-5820,5249
14:46:15.245 15092,-460,14428,41.75,-900,-1031,2717
14:46:15.480 -2156,-3016,19268,41.85,-708,3922,-6912
14:46:15.740 -6128,-3956,16216,41.80,-2283,1541,-1119
14:46:15.974 14120,-1600,9504,41.75,3063,-3888,3737
14:46:16.215 13328,-2284,10320,41.75,1046,695,-2750
