x,y,z
-0.0047189174,-0.3419388,0.13158983
-0.055800974,-0.27877665,0.13265395
-0.11539637,-0.18972342,0.12307742
-0.16647856,-0.10586394,0.09008404
-0.19201952,-0.031306542,0.042196065
-0.19840464,0.042213786,0.0070781764
-0.1898913,0.11053583,-0.020595552
-0.1696712,0.12814994,-0.03336297
-0.15370809,0.11158356,-0.020592354
-0.14306584,0.09502039,0.004949541
-0.13455236,0.08258845,0.040066633
-0.12816712,0.08983849,0.08902072
-0.13029549,0.10951009,0.13797374
-0.14945121,0.12194043,0.004949141
-0.0132326605,-0.060302857,0.18479879
-0.021746136,0.20685735,-0.10678977
0.10063729,-0.17316678,-0.08976668
0.13788487,-0.03336843,-0.13658828
0.055940866,-0.119313106,-0.0024988852
-0.06005758,0.14473297,-0.067413546
0.044234637,-0.057182983,0.19012338
-0.06963544,0.2824433,0.033684988
0.14533436,0.0028769954,-0.009946379
0.09744506,0.037047878,-0.094018355
0.19003132,-0.18556154,-0.068474464
0.27091107,-0.23112223,-0.098272696
0.005923461,-0.1627806,-0.062088955
0.031464424,-0.031281363,0.021982621
-0.094111755,-0.17209066,0.19545144
-0.032387983,0.16131252,0.01134091
0.10808758,0.038109597,-0.06634223
0.03359306,-0.1927964,-0.06315001
-0.13774405,0.08471082,-0.041863788
-0.057928544,-0.0664656,-0.100395605
-0.14732204,0.27419683,-0.15999088
0.016565707,-0.23939149,0.19438799
-0.078148514,0.1230196,0.020923566
-0.08559787,0.14994577,0.015603777
0.038914315,0.06815538,-0.06846593
0.15491289,-0.3615592,0.07839313
-0.012167476,0.1364946,-0.094006896
0.005924127,-0.09543834,-0.021639151
0.10276686,-0.2383367,0.05711024
0.058070168,0.06298267,0.04327684
-0.068570256,-0.05609142,0.14863397
0.07829001,0.0712574,-0.010999838
0.1112806,-0.13064376,-0.119546264
-0.35377797,0.04744751,-0.013126874
-0.18988983,0.14168464,0.15714918
